Rating,Distance,Quantity,category
3,48,40,3
5,50,40,5
5,66,22,5
1,56,40,1
5,37,18,5
1,28,18,4
5,31,5,5
3,30,38,4
2,87,35,2
1,96,18,1
4,91,28,4
3,25,16,3
1,59,43,1
3,43,6,3
5,65,38,5
3,67,44,4
3,46,1,5
3,52,43,3
1,58,34,1
4,54,16,4
1,78,11,3
3,96,29,5
2,27,49,2
1,93,30,3
3,58,43,5
2,19,14,3
1,7,20,1
3,32,39,3
2,51,48,3
5,57,43,5
4,72,7,2
3,14,6,3
5,50,13,5
2,55,23,5
3,62,14,3
3,94,14,3
4,62,14,5
2,90,24,5
1,18,13,1
4,79,19,5
5,21,1,5
5,65,4,5
2,63,25,4
4,61,40,5
2,26,27,2
3,4,37,4
1,70,17,5
1,15,43,3
1,85,45,5
3,89,8,3
3,67,18,3
2,81,42,3
1,20,31,1
3,9,35,2
4,75,15,3
1,98,43,1
5,27,42,5
4,61,25,2
4,50,42,2
5,1,21,5
2,33,15,2
1,85,47,1
3,54,21,4
4,66,48,5
2,50,32,3
5,84,4,5
2,93,14,3
1,57,4,1
1,63,19,5
2,81,37,2
5,88,19,5
1,81,48,2
4,60,11,2
5,97,38,1
4,29,1,3
3,81,39,5
1,62,47,1
1,48,39,1
2,37,36,2
3,60,25,5
5,32,2,5
4,98,4,2
1,42,40,1
2,37,35,5
3,79,39,5
1,69,22,1
3,43,25,5
3,46,17,5
5,78,4,5
1,34,36,2
3,5,6,2
1,95,41,2
1,94,34,5
3,91,15,3
2,92,12,5
3,21,39,4
5,7,40,5
3,8,36,5
2,93,48,5
2,81,39,2
5,5,8,5
5,52,19,5
3,60,31,5
4,99,48,4
3,22,17,5
4,64,40,5
3,31,9,5
4,87,10,2
2,59,39,2
4,37,47,2
3,51,14,4
3,78,42,4
4,39,24,4
1,5,8,1
4,36,31,4
4,38,40,4
3,68,21,4
1,83,27,1
4,19,20,2
5,70,31,5
4,71,16,4
4,6,36,3
1,87,18,1
1,9,36,1
2,19,45,2
5,52,31,5
2,4,7,5
2,39,5,1
1,41,39,5
1,21,41,1
3,27,9,4
1,8,38,1
5,40,18,5
3,77,49,5
5,57,4,5
4,95,41,4
2,99,17,3
4,69,8,2
4,90,3,4
1,73,41,1
4,95,4,3
4,23,29,4
4,14,39,1
5,27,39,5
5,82,45,5
3,76,14,3
4,78,8,5
3,58,32,5
3,35,34,4
4,93,9,1
3,9,28,3
4,15,48,3
3,61,1,3
2,75,36,2
5,98,42,5
1,69,32,1
2,12,1,2
1,88,48,1
4,21,18,3
2,6,23,1
3,60,38,3
4,8,46,4
2,86,36,4
4,66,24,3
4,55,21,5
4,88,13,1
3,76,25,3
3,8,47,5
5,61,39,5
5,80,13,5
1,56,14,1
1,42,44,1
2,9,22,3
1,91,13,1
5,57,44,5
1,4,15,5
4,20,16,4
5,39,22,5
3,97,32,2
1,59,36,1
4,13,25,5
3,58,24,3
4,36,28,3
3,9,3,2
3,11,35,5
5,18,41,5
5,70,39,5
4,7,34,5
3,62,17,5
2,65,29,2
5,2,31,4
4,60,7,5
1,81,4,1
5,29,9,5
5,57,8,5
5,49,20,5
1,54,33,1
4,28,13,2
2,68,3,4
2,80,47,2
5,45,2,5
5,47,29,5
5,83,26,5
4,86,49,4
5,99,2,5
2,60,3,2
4,64,33,3
4,20,46,5
